lr,bsize,weight_decay,layers,loss
0.0001,16.0,0.0001,model_params1,0.09892020374536514
0.0001,16.0,0.0001,model_params2,0.09738528728485107
0.0001,16.0,0.0001,model_params3,0.09874656796455383
0.0001,16.0,0.0001,model_params4,0.09729065001010895
0.0001,16.0,0.0001,model_params5,0.09876954555511475
0.0001,16.0,0.0001,model_params6,0.09803008288145065
0.0001,16.0,0.0001,model_params9,0.09995360672473907
0.0001,16.0,0.01,model_params1,0.10229989886283875
0.0001,16.0,0.01,model_params2,0.09817459434270859
0.0001,16.0,0.01,model_params3,0.0989174172282219
0.0001,16.0,0.01,model_params4,0.09968438744544983
0.0001,16.0,0.01,model_params5,0.1052720844745636
0.0001,16.0,0.01,model_params6,0.10514452308416367
0.0001,16.0,0.01,model_params9,0.10527217388153076
0.0001,16.0,1e-06,model_params1,0.09777552634477615
0.0001,16.0,1e-06,model_params2,0.09821490943431854
0.0001,16.0,1e-06,model_params3,0.0968637615442276
0.0001,16.0,1e-06,model_params4,0.09658397734165192
0.0001,16.0,1e-06,model_params5,0.09816638380289078
0.0001,16.0,1e-06,model_params6,0.09758087992668152
0.0001,16.0,1e-06,model_params9,0.10144846141338348
0.0001,32.0,0.0001,model_params1,0.10429651290178299
0.0001,32.0,0.0001,model_params2,0.0996013954281807
0.0001,32.0,0.0001,model_params3,0.09967797249555588
0.0001,32.0,0.0001,model_params4,0.10132045298814774
0.0001,32.0,0.0001,model_params5,0.09877283871173859
0.0001,32.0,0.0001,model_params6,0.10200389474630356
0.0001,32.0,0.0001,model_params9,0.10127024352550507
0.0001,32.0,0.01,model_params1,0.10383009910583496
0.0001,32.0,0.01,model_params2,0.10059534013271332
0.0001,32.0,0.01,model_params3,0.09948897361755371
0.0001,32.0,0.01,model_params4,0.10500902682542801
0.0001,32.0,0.01,model_params5,0.10415589064359665
0.0001,32.0,0.01,model_params6,0.10489040613174438
0.0001,32.0,0.01,model_params9,0.10529094189405441
0.0001,32.0,1e-06,model_params1,0.1032911017537117
0.0001,32.0,1e-06,model_params2,0.09905950725078583
0.0001,32.0,1e-06,model_params3,0.09760640561580658
0.0001,32.0,1e-06,model_params4,0.09813467413187027
0.0001,32.0,1e-06,model_params5,0.09863405674695969
0.0001,32.0,1e-06,model_params6,0.09958752244710922
0.0001,32.0,1e-06,model_params9,0.10686041414737701
0.0001,64.0,0.0001,model_params1,0.10191061347723007
0.0001,64.0,0.0001,model_params2,0.10155902802944183
0.0001,64.0,0.0001,model_params3,0.10071846842765808
0.0001,64.0,0.0001,model_params4,0.1002810150384903
0.0001,64.0,0.0001,model_params5,0.10089422017335892
0.0001,64.0,0.0001,model_params6,0.1000504121184349
0.0001,64.0,0.0001,model_params9,0.10424061864614487
0.0001,64.0,0.01,model_params1,0.10180779546499252
0.0001,64.0,0.01,model_params2,0.10305783152580261
0.0001,64.0,0.01,model_params3,0.09972652047872543
0.0001,64.0,0.01,model_params4,0.1032167375087738
0.0001,64.0,0.01,model_params5,0.10431821644306183
0.0001,64.0,0.01,model_params6,0.10517903417348862
0.0001,64.0,0.01,model_params9,0.10528463870286942
0.0001,64.0,1e-06,model_params1,0.103114053606987
0.0001,64.0,1e-06,model_params2,0.10424128919839859
0.0001,64.0,1e-06,model_params3,0.09898534417152405
0.0001,64.0,1e-06,model_params4,0.10050530731678009
0.0001,64.0,1e-06,model_params5,0.09987562149763107
0.0001,64.0,1e-06,model_params6,0.09936685860157013
0.0001,64.0,1e-06,model_params9,0.1004353016614914
0.001,16.0,0.0001,model_params1,0.09756077826023102
0.001,16.0,0.0001,model_params2,0.09840167313814163
0.001,16.0,0.0001,model_params3,0.09809499979019165
0.001,16.0,0.0001,model_params4,0.0977138951420784
0.001,16.0,0.0001,model_params5,0.09743256121873856
0.001,16.0,0.0001,model_params6,0.0973992645740509
0.001,16.0,0.0001,model_params9,0.09743694216012955
0.001,16.0,0.01,model_params1,0.10061126202344894
0.001,16.0,0.01,model_params2,0.09741933643817902
0.001,16.0,0.01,model_params3,0.09841331094503403
0.001,16.0,0.01,model_params4,0.10318007320165634
0.001,16.0,0.01,model_params5,0.10533519089221954
0.001,16.0,0.01,model_params6,0.10531307011842728
0.001,16.0,0.01,model_params9,0.10534840822219849
0.001,16.0,1e-06,model_params1,0.09800894558429718
0.001,16.0,1e-06,model_params2,0.09801994264125824
0.001,16.0,1e-06,model_params3,0.09853545576334
0.001,16.0,1e-06,model_params4,0.09928543120622635
0.001,16.0,1e-06,model_params5,0.097262904047966
0.001,16.0,1e-06,model_params6,0.09757962822914124
0.001,16.0,1e-06,model_params9,0.09748683869838715
0.001,32.0,0.0001,model_params1,0.09900860488414764
0.001,32.0,0.0001,model_params2,0.09668490290641785
0.001,32.0,0.0001,model_params3,0.09733352810144424
0.001,32.0,0.0001,model_params4,0.0982905849814415
0.001,32.0,0.0001,model_params5,0.09728694707155228
0.001,32.0,0.0001,model_params6,0.09862825274467468
0.001,32.0,0.0001,model_params9,0.09741544723510742
0.001,32.0,0.01,model_params1,0.10115963220596313
0.001,32.0,0.01,model_params2,0.09874297678470612
0.001,32.0,0.01,model_params3,0.0996788889169693
0.001,32.0,0.01,model_params4,0.10414067655801773
0.001,32.0,0.01,model_params5,0.10502372682094574
0.001,32.0,0.01,model_params6,0.10527122765779495
0.001,32.0,0.01,model_params9,0.10527115315198898
0.001,32.0,1e-06,model_params1,0.09657280892133713
0.001,32.0,1e-06,model_params2,0.09618872404098511
0.001,32.0,1e-06,model_params3,0.0981413796544075
0.001,32.0,1e-06,model_params4,0.09912749379873276
0.001,32.0,1e-06,model_params5,0.09801848232746124
0.001,32.0,1e-06,model_params6,0.09696248173713684
0.001,32.0,1e-06,model_params9,0.099830262362957
0.001,64.0,0.0001,model_params1,0.098667673766613
0.001,64.0,0.0001,model_params2,0.09724830836057663
0.001,64.0,0.0001,model_params3,0.09825519472360611
0.001,64.0,0.0001,model_params4,0.09727412462234497
0.001,64.0,0.0001,model_params5,0.09723622351884842
0.001,64.0,0.0001,model_params6,0.09716487675905228
0.001,64.0,0.0001,model_params9,0.0965798944234848
0.001,64.0,0.01,model_params1,0.09944425523281097
0.001,64.0,0.01,model_params2,0.09946614503860474
0.001,64.0,0.01,model_params3,0.10034161061048508
0.001,64.0,0.01,model_params4,0.10495761036872864
0.001,64.0,0.01,model_params5,0.10524120181798935
0.001,64.0,0.01,model_params6,0.1052711233496666
0.001,64.0,0.01,model_params9,0.1052713692188263
0.001,64.0,1e-06,model_params1,0.09921639412641525
0.001,64.0,1e-06,model_params2,0.09654804319143295
0.001,64.0,1e-06,model_params3,0.0965975895524025
0.001,64.0,1e-06,model_params4,0.09568561613559723
0.001,64.0,1e-06,model_params5,0.09691932797431946
0.001,64.0,1e-06,model_params6,0.0962507426738739
0.001,64.0,1e-06,model_params9,0.09653477370738983
0.01,16.0,0.0001,model_params1,0.09719088673591614
0.01,16.0,0.0001,model_params2,0.09734316915273666
0.01,16.0,0.0001,model_params3,0.09758888930082321
0.01,16.0,0.0001,model_params4,0.10511346161365509
0.01,16.0,0.0001,model_params5,0.10529003292322159
0.01,16.0,0.0001,model_params6,0.10527578741312027
0.01,16.0,0.0001,model_params9,0.10529104620218277
0.01,16.0,0.01,model_params1,0.09777626395225525
0.01,16.0,0.01,model_params2,0.10406706482172012
0.01,16.0,0.01,model_params3,0.105281762778759
0.01,16.0,0.01,model_params4,0.10530317574739456
0.01,16.0,0.01,model_params5,0.10527569055557251
0.01,16.0,0.01,model_params6,0.10528843849897385
0.01,16.0,0.01,model_params9,0.10527526587247849
0.01,16.0,1e-06,model_params1,0.09631719440221786
0.01,16.0,1e-06,model_params2,0.09760631620883942
0.01,16.0,1e-06,model_params3,0.0970982015132904
0.01,16.0,1e-06,model_params4,0.10504398494958878
0.01,16.0,1e-06,model_params5,0.10527827590703964
0.01,16.0,1e-06,model_params6,0.10528083145618439
0.01,16.0,1e-06,model_params9,0.10527946054935455
0.01,32.0,0.0001,model_params1,0.09739476442337036
0.01,32.0,0.0001,model_params2,0.09700092673301697
0.01,32.0,0.0001,model_params3,0.09743737429380417
0.01,32.0,0.0001,model_params4,0.0972527265548706
0.01,32.0,0.0001,model_params5,0.10529211908578873
0.01,32.0,0.0001,model_params6,0.09669172018766403
0.01,32.0,0.0001,model_params9,0.10530319064855576
0.01,32.0,0.01,model_params1,0.09685387462377548
0.01,32.0,0.01,model_params2,0.10310143977403641
0.01,32.0,0.01,model_params3,0.10536143183708191
0.01,32.0,0.01,model_params4,0.10533377528190613
0.01,32.0,0.01,model_params5,0.10539930313825607
0.01,32.0,0.01,model_params6,0.10549554228782654
0.01,32.0,0.01,model_params9,0.10549899190664291
0.01,32.0,1e-06,model_params1,0.0967743918299675
0.01,32.0,1e-06,model_params2,0.09702705591917038
0.01,32.0,1e-06,model_params3,0.09640045464038849
0.01,32.0,1e-06,model_params4,0.09652382880449295
0.01,32.0,1e-06,model_params5,0.09679830074310303
0.01,32.0,1e-06,model_params6,0.10502702742815018
0.01,32.0,1e-06,model_params9,0.1054154559969902
0.01,64.0,0.0001,model_params1,0.09676763415336609
0.01,64.0,0.0001,model_params2,0.09663667529821396
0.01,64.0,0.0001,model_params3,0.09653987735509872
0.01,64.0,0.0001,model_params4,0.09640166163444519
0.01,64.0,0.0001,model_params5,0.10527353733778
0.01,64.0,0.0001,model_params6,0.10527967661619186
0.01,64.0,0.0001,model_params9,0.09633325785398483
0.01,64.0,0.01,model_params1,0.09683911502361298
0.01,64.0,0.01,model_params2,0.09798877686262131
0.01,64.0,0.01,model_params3,0.10527180880308151
0.01,64.0,0.01,model_params4,0.10527472198009491
0.01,64.0,0.01,model_params5,0.1052716001868248
0.01,64.0,0.01,model_params6,0.10527175664901733
0.01,64.0,0.01,model_params9,0.10527128726243973
0.01,64.0,1e-06,model_params1,0.09650053083896637
0.01,64.0,1e-06,model_params2,0.09626442193984985
0.01,64.0,1e-06,model_params3,0.09719670563936234
0.01,64.0,1e-06,model_params4,0.0967387929558754
