lr,bsize,weight_decay,layers,loss
0.0001,16.0,0.0001,model_params1,0.09757497161626816
0.0001,16.0,0.0001,model_params2,0.09637074917554855
0.0001,16.0,0.0001,model_params3,0.09720012545585632
0.0001,16.0,0.0001,model_params4,0.09670863300561905
0.0001,16.0,0.0001,model_params5,0.09603866189718246
0.0001,16.0,0.0001,model_params6,0.09678475558757782
0.0001,16.0,0.0001,model_params9,0.09622099995613098
0.0001,16.0,0.01,model_params1,0.09735029190778732
0.0001,16.0,0.01,model_params2,0.09816668927669525
0.0001,16.0,0.01,model_params3,0.09687329083681107
0.0001,16.0,0.01,model_params4,0.09695745259523392
0.0001,16.0,0.01,model_params5,0.09678968787193298
0.0001,16.0,0.01,model_params6,0.09663782268762589
0.0001,16.0,0.01,model_params9,0.10526757687330246
0.0001,16.0,1e-06,model_params1,0.09789737313985825
0.0001,16.0,1e-06,model_params2,0.09637011587619781
0.0001,16.0,1e-06,model_params3,0.09632103145122528
0.0001,16.0,1e-06,model_params4,0.0966033861041069
0.0001,16.0,1e-06,model_params5,0.09642957895994186
0.0001,16.0,1e-06,model_params6,0.09567946195602417
0.0001,16.0,1e-06,model_params9,0.09610903263092041
0.0001,32.0,0.0001,model_params1,0.10416283458471298
0.0001,32.0,0.0001,model_params2,0.10160768032073975
0.0001,32.0,0.0001,model_params3,0.10907255113124847
0.0001,32.0,0.0001,model_params4,0.09688789397478104
0.0001,32.0,0.0001,model_params5,0.10014436393976212
0.0001,32.0,0.0001,model_params6,0.09765777736902237
0.0001,32.0,0.0001,model_params9,0.09649378061294556
0.0001,32.0,0.01,model_params1,0.09887354075908661
0.0001,32.0,0.01,model_params2,0.10019177198410034
0.0001,32.0,0.01,model_params3,0.09742020815610886
0.0001,32.0,0.01,model_params4,0.09703736007213593
0.0001,32.0,0.01,model_params5,0.09691926836967468
0.0001,32.0,0.01,model_params6,0.09693136066198349
0.0001,32.0,0.01,model_params9,0.10507737100124359
0.0001,32.0,1e-06,model_params1,0.10135514289140701
0.0001,32.0,1e-06,model_params2,0.10156486183404922
0.0001,32.0,1e-06,model_params3,0.10008352249860764
0.0001,32.0,1e-06,model_params4,0.09741520136594772
0.0001,32.0,1e-06,model_params5,0.09946044534444809
0.0001,32.0,1e-06,model_params6,0.09951529651880264
0.0001,32.0,1e-06,model_params9,0.10075027495622635
0.0001,64.0,0.0001,model_params1,0.10013838112354279
0.0001,64.0,0.0001,model_params2,0.09772016853094101
0.0001,64.0,0.0001,model_params3,0.10300333797931671
0.0001,64.0,0.0001,model_params4,0.0990707278251648
0.0001,64.0,0.0001,model_params5,0.09859158843755722
0.0001,64.0,0.0001,model_params6,0.09727083891630173
0.0001,64.0,0.0001,model_params9,0.09697572886943817
0.0001,64.0,0.01,model_params1,0.100669726729393
0.0001,64.0,0.01,model_params2,0.09984023869037628
0.0001,64.0,0.01,model_params3,0.09955058991909027
0.0001,64.0,0.01,model_params4,0.09720685333013535
0.0001,64.0,0.01,model_params5,0.09689371287822723
0.0001,64.0,0.01,model_params6,0.09723517298698425
0.0001,64.0,0.01,model_params9,0.10529067367315292
0.0001,64.0,1e-06,model_params1,0.10334142297506332
0.0001,64.0,1e-06,model_params2,0.09758038073778152
0.0001,64.0,1e-06,model_params3,0.09693588316440582
0.0001,64.0,1e-06,model_params4,0.09839384257793427
0.0001,64.0,1e-06,model_params5,0.09665660560131073
0.0001,64.0,1e-06,model_params6,0.10028235614299774
0.0001,64.0,1e-06,model_params9,0.09645352512598038
0.001,16.0,0.0001,model_params1,0.09661865234375
0.001,16.0,0.0001,model_params2,0.09621889889240265
0.001,16.0,0.0001,model_params3,0.09588164836168289
0.001,16.0,0.0001,model_params4,0.09591308981180191
0.001,16.0,0.0001,model_params5,0.09592768549919128
0.001,16.0,0.0001,model_params6,0.0957157090306282
0.001,16.0,0.0001,model_params9,0.09560897946357727
0.001,16.0,0.01,model_params1,0.09602860361337662
0.001,16.0,0.01,model_params2,0.09580358117818832
0.001,16.0,0.01,model_params3,0.09580980241298676
0.001,16.0,0.01,model_params4,0.09583844244480133
0.001,16.0,0.01,model_params5,0.09596425294876099
0.001,16.0,0.01,model_params6,0.10314179211854935
0.001,16.0,0.01,model_params9,0.1052735224366188
0.001,16.0,1e-06,model_params1,0.09608953446149826
0.001,16.0,1e-06,model_params2,0.09582344442605972
0.001,16.0,1e-06,model_params3,0.09607957303524017
0.001,16.0,1e-06,model_params4,0.09572242200374603
0.001,16.0,1e-06,model_params5,0.09559576958417892
0.001,16.0,1e-06,model_params6,0.0957481861114502
0.001,16.0,1e-06,model_params9,0.0956863984465599
0.001,32.0,0.0001,model_params1,0.09696471691131592
0.001,32.0,0.0001,model_params2,0.09623189270496368
0.001,32.0,0.0001,model_params3,0.0962081328034401
0.001,32.0,0.0001,model_params4,0.09617822617292404
0.001,32.0,0.0001,model_params5,0.09585817903280258
0.001,32.0,0.0001,model_params6,0.09633057564496994
0.001,32.0,0.0001,model_params9,0.09608719497919083
0.001,32.0,0.01,model_params1,0.09611911326646805
0.001,32.0,0.01,model_params2,0.0957714319229126
0.001,32.0,0.01,model_params3,0.09574605524539948
0.001,32.0,0.01,model_params4,0.09581639617681503
0.001,32.0,0.01,model_params5,0.09593798965215683
0.001,32.0,0.01,model_params6,0.09611940383911133
0.001,32.0,0.01,model_params9,0.10527108609676361
0.001,32.0,1e-06,model_params1,0.09628888964653015
0.001,32.0,1e-06,model_params2,0.09565401077270508
0.001,32.0,1e-06,model_params3,0.09592349082231522
0.001,32.0,1e-06,model_params4,0.09583237767219543
0.001,32.0,1e-06,model_params5,0.09635259956121445
0.001,32.0,1e-06,model_params6,0.095774345099926
