lr,bsize,weight_decay,layers,loss
0.0001,64.0,1e-06,model_params1,0.10316696763038635
0.0001,64.0,1e-06,model_params2,0.09820274263620377
0.0001,64.0,1e-06,model_params1,0.10162019729614258
0.0001,64.0,1e-06,model_params2,0.10347454994916916
0.0001,64.0,1e-06,model_params3,0.09786362946033478
0.0001,64.0,1e-06,model_params4,0.09782171249389648
0.0001,64.0,1e-06,model_params1,0.10063740611076355
0.0001,64.0,1e-06,model_params2,0.09993121773004532
0.0001,64.0,1e-06,model_params3,0.09782223403453827
0.0001,64.0,1e-06,model_params4,0.09854631870985031
0.0001,64.0,1e-06,model_params5,0.09929003566503525
0.0001,64.0,1e-06,model_params6,0.09797319769859314
0.0001,64.0,1e-06,model_params9,0.10052410513162613
0.0001,64.0,0.0001,model_params1,0.10265585035085678
0.0001,64.0,0.0001,model_params2,0.10189290344715118
0.0001,64.0,0.0001,model_params3,0.10328171402215958
0.0001,64.0,0.0001,model_params4,0.09865758568048477
0.0001,64.0,0.0001,model_params5,0.09899502992630005
0.0001,64.0,0.0001,model_params6,0.09762132167816162
0.0001,64.0,0.0001,model_params9,0.09878329187631607
0.0001,64.0,0.01,model_params1,0.0991978645324707
0.0001,64.0,0.01,model_params2,0.09873940795660019
0.0001,64.0,0.01,model_params3,0.09825985133647919
0.0001,64.0,0.01,model_params4,0.09873586148023605
0.0001,64.0,0.01,model_params5,0.09792230278253555
0.0001,64.0,0.01,model_params6,0.09735692292451859
0.0001,64.0,0.01,model_params9,0.1052924394607544
0.0001,32.0,1e-06,model_params1,0.10757791996002197
0.0001,32.0,1e-06,model_params2,0.1001153290271759
0.0001,32.0,1e-06,model_params3,0.10120885819196701
0.0001,32.0,1e-06,model_params4,0.1000889241695404
0.0001,32.0,1e-06,model_params5,0.1003776416182518
0.0001,32.0,1e-06,model_params6,0.0980062261223793
0.0001,32.0,1e-06,model_params9,0.09930630773305893
0.0001,32.0,0.0001,model_params1,0.10420192033052444
0.0001,32.0,0.0001,model_params2,0.10682649910449982
0.0001,32.0,0.0001,model_params3,0.09937019646167755
0.0001,32.0,0.0001,model_params4,0.10110050439834595
0.0001,32.0,0.0001,model_params5,0.09760405123233795
0.0001,32.0,0.0001,model_params6,0.09771119058132172
0.0001,32.0,0.0001,model_params9,0.10047867894172668
0.0001,32.0,0.01,model_params1,0.10391541570425034
0.0001,32.0,0.01,model_params2,0.10099547356367111
0.0001,32.0,0.01,model_params3,0.09849197417497635
0.0001,32.0,0.01,model_params4,0.09734644740819931
0.0001,32.0,0.01,model_params5,0.09682539850473404
0.0001,32.0,0.01,model_params6,0.09751033782958984
0.0001,32.0,0.01,model_params9,0.10515064746141434
0.0001,16.0,1e-06,model_params1,0.10101578384637833
0.0001,16.0,1e-06,model_params2,0.09709811955690384
0.0001,16.0,1e-06,model_params3,0.0970330536365509
0.0001,16.0,1e-06,model_params4,0.09698651731014252
0.0001,16.0,1e-06,model_params5,0.09699882566928864
0.0001,16.0,1e-06,model_params6,0.0968104898929596
0.0001,16.0,1e-06,model_params9,0.0970262736082077
0.0001,16.0,0.0001,model_params1,0.09753647446632385
0.0001,16.0,0.0001,model_params2,0.09707900136709213
0.0001,16.0,0.0001,model_params3,0.09685669094324112
0.0001,16.0,0.0001,model_params4,0.09624531865119934
0.0001,16.0,0.0001,model_params5,0.09666050225496292
0.0001,16.0,0.0001,model_params6,0.09668643027544022
0.0001,16.0,0.0001,model_params9,0.09658834338188171
0.0001,16.0,0.01,model_params1,0.09772304445505142
0.0001,16.0,0.01,model_params2,0.09753648191690445
0.0001,16.0,0.01,model_params3,0.09639552980661392
0.0001,16.0,0.01,model_params4,0.09639176726341248
0.0001,16.0,0.01,model_params5,0.09659832715988159
0.0001,16.0,0.01,model_params6,0.09667357057332993
0.0001,16.0,0.01,model_params9,0.10525979101657867
0.001,64.0,1e-06,model_params1,0.09746315330266953
0.001,64.0,1e-06,model_params2,0.09739939123392105
0.001,64.0,1e-06,model_params3,0.09598122537136078
0.001,64.0,1e-06,model_params4,0.0967194139957428
0.001,64.0,1e-06,model_params5,0.09662113338708878
0.001,64.0,1e-06,model_params6,0.09644905477762222
0.001,64.0,1e-06,model_params9,0.09611011296510696
0.001,64.0,0.0001,model_params1,0.0981861874461174
0.001,64.0,0.0001,model_params2,0.0974944606423378
0.001,64.0,0.0001,model_params3,0.09671810269355774
0.001,64.0,0.0001,model_params4,0.09688113629817963
0.001,64.0,0.0001,model_params5,0.09677731245756149
0.001,64.0,0.0001,model_params6,0.09663359820842743
0.001,64.0,0.0001,model_params9,0.09632890671491623
0.001,64.0,0.01,model_params1,0.09699402004480362
0.001,64.0,0.01,model_params2,0.0962696522474289
0.001,64.0,0.01,model_params3,0.0961851105093956
0.001,64.0,0.01,model_params4,0.0964047908782959
0.001,64.0,0.01,model_params5,0.09648306667804718
0.001,64.0,0.01,model_params6,0.10468291491270065
0.001,64.0,0.01,model_params9,0.10527119040489197
0.001,32.0,1e-06,model_params1,0.09705096483230591
0.001,32.0,1e-06,model_params2,0.09636823832988739
0.001,32.0,1e-06,model_params3,0.09619530290365219
0.001,32.0,1e-06,model_params4,0.09750127047300339
0.001,32.0,1e-06,model_params5,0.0962318554520607
0.001,32.0,1e-06,model_params6,0.09630037099123001
0.001,32.0,1e-06,model_params9,0.09630487114191055
0.001,32.0,0.0001,model_params1,0.09658901393413544
0.001,32.0,0.0001,model_params2,0.09665294736623764
0.001,32.0,0.0001,model_params3,0.09638921916484833
