Target_variable,Algorithm,PCA_not,transform,home_away,train_error,rmse,max_error,mae,r^2,best_params
pointspread,DNN,not_PCA,minmax,away,not_need,12.83,44.72,10.04,0.19,not_need
pointspread,DNN,not_PCA,minmax,home,not_need,12.86,45.56,10.05,0.19,not_need
pointspread,DNN,not_PCA,minmax,not_need,not_need,12.85,45.56,10.05,0.21,not_need
pointspread,DNN,not_PCA,standard,away,not_need,12.95,45.97,10.18,0.17,not_need
pointspread,DNN,not_PCA,standard,home,not_need,12.9,44.59,10.11,0.18,not_need
pointspread,DNN,not_PCA,standard,not_need,not_need,12.93,45.97,10.14,0.2,not_need
pointspread,DTR,not_PCA,minmax,away,-9.52,12.92,46.47,10.14,0.18,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.1, 'min_samples_split': 32, 'min_samples_leaf': 19, 'min_impurity_decrease': 0.1, 'max_features': None, 'max_depth': 30}"
pointspread,DTR,not_PCA,minmax,home,-9.53,12.92,46.47,10.14,0.18,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.1, 'min_samples_split': 32, 'min_samples_leaf': 19, 'min_impurity_decrease': 0.1, 'max_features': None, 'max_depth': 30}"
pointspread,DTR,not_PCA,minmax,not_need,not_need,12.92,46.47,10.14,0.21,not_need
PTS,DTR,not_PCA,minmax,not_need,not_need,13.95,47,11.07,0.07,not_need
pointspread,DTR,not_PCA,standard,away,-9.52,12.92,46.47,10.14,0.18,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.1, 'min_samples_split': 32, 'min_samples_leaf': 19, 'min_impurity_decrease': 0.1, 'max_features': None, 'max_depth': 30}"
pointspread,DTR,not_PCA,standard,home,-9.53,12.92,46.47,10.14,0.18,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.1, 'min_samples_split': 32, 'min_samples_leaf': 19, 'min_impurity_decrease': 0.1, 'max_features': None, 'max_depth': 30}"
pointspread,DTR,not_PCA,standard,not_need,not_need,12.92,46.47,10.14,0.21,not_need
PTS,DTR,not_PCA,standard,not_need,not_need,13.95,47,11.07,0.07,not_need
pointspread,GBR,not_PCA,minmax,away,-9.55,13.04,48.1,10.23,0.16,"{'subsample': 0.6, 'n_estimators': 83, 'min_samples_split': 92, 'min_samples_leaf': 91, 'min_impurity_decrease': 0.9, 'max_features': 20, 'max_depth': 53, 'loss': 'lad', 'learning_rate': 0.1, 'alpha': 0.1}"
pointspread,GBR,not_PCA,minmax,home,-9.55,12.95,46.64,10.15,0.18,"{'subsample': 0.6, 'n_estimators': 83, 'min_samples_split': 92, 'min_samples_leaf': 91, 'min_impurity_decrease': 0.9, 'max_features': 20, 'max_depth': 53, 'loss': 'lad', 'learning_rate': 0.1, 'alpha': 0.1}"
pointspread,GBR,not_PCA,minmax,not_need,not_need,13,48.1,10.19,0.2,not_need
PTS,GBR,not_PCA,minmax,not_need,not_need,13.25,47.57,10.39,0.16,not_need
pointspread,GBR,not_PCA,standard,away,-9.54,12.95,45.72,10.1,0.18,"{'subsample': 0.3, 'n_estimators': 43, 'min_samples_split': 92, 'min_samples_leaf': 71, 'min_impurity_decrease': 0.3, 'max_features': 25, 'max_depth': 63, 'loss': 'huber', 'learning_rate': 0.1, 'alpha': 0.1}"
pointspread,GBR,not_PCA,standard,home,-9.54,12.91,46.76,10.12,0.18,"{'subsample': 0.6, 'n_estimators': 83, 'min_samples_split': 92, 'min_samples_leaf': 91, 'min_impurity_decrease': 0.9, 'max_features': 20, 'max_depth': 53, 'loss': 'lad', 'learning_rate': 0.1, 'alpha': 0.1}"
pointspread,GBR,not_PCA,standard,not_need,not_need,12.93,46.76,10.11,0.2,not_need
PTS,GBR,not_PCA,standard,not_need,not_need,13.18,46.43,10.31,0.17,not_need
pointspread,Lasso,not_PCA,minmax,away,-9.39,12.69,47.67,9.94,0.21,"{'alpha': 0.01, 'fit_intercept': False}"
pointspread,Lasso,not_PCA,minmax,home,-9.39,12.71,47.29,9.94,0.21,"{'alpha': 0.01, 'fit_intercept': False}"
