pointspread,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25,PCA26,PCA27,PCA28,PCA29,PCA30,PCA31,PCA32,PCA33,PCA34,PCA35,PCA36,PCA37,PCA38,PCA39,PCA40
10,8.765436862,-4.508103482,7.256402292,-5.311245376,-3.23052951,2.364525033,-5.154773553,4.90551811,4.61231356,6.262506626,1.945466636,-2.398867176,0.861125709,3.027423748,3.568132639,4.537446126,4.545118702,7.73708159,-6.340118641,0.995339232,-0.216587774,1.696329525,-1.341324563,2.499151538,1.215761385,3.29318501,-2.309520087,-1.154525638,-0.422576035,-1.320980925,1.568064171,0.916861036,0.227730238,2.985917758,1.928374705,-1.685962143,-0.70883985,-0.295518202,-1.914992333,-1.303922392
-8,2.697967673,1.958425811,4.278182489,-1.074502862,-3.103006871,-2.83777711,-2.811872092,-0.87126801,0.053964632,1.607675185,-2.249672957,-1.061998681,1.25257149,1.404939324,2.783481,1.42548649,1.417481733,-1.524483456,1.666180121,-1.812685454,0.121334522,-1.040478117,-1.975056621,-1.961163364,6.798949924,6.911212732,0.645532933,2.102113895,-0.502337019,3.449846633,0.795243901,-0.593115738,-2.085889359,2.048053403,2.851745879,-2.547000022,-1.03322804,0.226639855,-0.707525176,0.036282248
13,-11.05336572,-7.376720707,-3.337374065,2.40511738,-3.07219418,-1.425536033,4.177668192,-6.540945742,-0.408841822,-6.673350753,-2.830317607,3.184778734,-2.353683358,-1.27593779,-1.542525433,-3.257537499,0.117478792,-1.801503983,4.871077639,2.560293916,-0.669571361,1.266719505,-2.811559884,2.687466791,2.668243974,1.423874427,0.247410832,-0.705496363,1.252528497,0.748269321,1.891804107,-1.995174133,2.507774825,0.828868194,-1.095402207,-2.358602473,1.562257182,2.264344866,1.552078261,0.537700134
6,12.90408741,-5.375113209,6.224425179,-3.68022861,-0.761846187,6.201866179,-0.729467986,-0.189833904,-3.254864039,-1.211894477,1.709054695,-1.057444541,-0.335241085,1.672686599,1.251074386,-1.3841696,3.69098823,-2.422498966,2.855874756,-0.266284228,5.026410407,-0.519253778,-3.456628082,1.282000994,3.607944626,0.086253877,0.622436396,1.893370491,-1.714133402,0.559229667,-1.319011327,0.048333404,-0.224356784,1.623158517,1.276163479,0.126988261,-0.522600432,-0.634207316,-1.246834137,-0.334068511
-9,-0.001001764,5.814605122,-0.587584915,4.005856744,-4.454297825,3.642658196,1.733407802,-2.659981278,-0.857839642,-2.214409265,4.867817967,-1.919486227,0.526159584,1.90565122,3.908926794,-3.803061616,-0.248850435,-0.765441265,-1.18998898,0.797002726,0.522272749,0.708997056,-1.228473551,2.275080297,1.792489357,0.954839538,-1.763452328,1.410089397,0.370203459,-3.356531192,2.893851186,-0.607634676,3.954791204,1.315830274,0.476404433,-0.452635081,3.009733772,0.203864704,-0.205721561,-1.372085088
9,6.068844325,-8.158926307,5.872948074,5.47276743,-2.528626795,7.345017071,-5.007287151,-2.199370247,-2.845914202,0.73401858,5.979507523,-3.040643945,3.433991691,3.100391175,3.846727652,-1.969537242,2.284616554,0.435853953,2.098992354,3.423874485,-4.84148867,1.010276379,-0.655448684,1.619944908,1.533766815,1.758952187,-3.753871808,-0.990597249,-3.037347484,2.592740268,-0.542460692,1.051652678,-1.545850529,-0.204979436,0.015489971,-2.810427416,-0.300525972,0.924222876,1.418751401,-0.713582384
-4,1.973671929,2.105920396,2.104677721,1.430580865,-1.41852168,3.147251768,0.699210391,2.787226553,-0.432958195,2.335836637,-0.830092675,0.136473498,-0.220338103,-0.36916302,1.05819144,-0.404751632,2.622283536,-0.985891517,4.673104574,2.415335158,3.216780085,0.606029787,-0.676961914,3.621464826,0.364087676,2.363340384,-2.027978208,0.264582707,-0.095148722,-3.221173886,0.754698513,-0.37735234,-1.291938149,2.909434504,2.412578464,-0.185444842,-0.074134616,-0.371276358,0.6505248,-1.55203763
9,17.40469381,-5.109343724,5.620210579,1.660983801,2.509316059,5.512976974,-0.388966936,10.28730319,-3.792270688,-5.554001393,6.505608289,-4.436100158,-3.204821524,-0.573803519,3.535964897,-4.154213875,1.773860874,-1.869291916,-1.4583901,-2.031414058,2.122902036,0.287483699,0.120959271,3.562864084,-1.461805346,2.153917965,-1.906980235,-0.551644852,0.726162512,-1.451558707,1.433795918,-0.185602061,1.546110225,3.392457856,1.308167687,1.073028888,1.236919109,-0.597827802,-2.220815425,-1.150197188
-2,14.15080215,-1.042033044,4.870637152,1.723272481,2.329448257,5.721795378,-3.213392371,3.119730661,-5.722465348,-4.819196771,3.007830303,-4.795741278,1.306272729,0.819405059,0.00951097,-2.842670378,3.373726409,-1.905890739,-0.151211018,-1.487069996,-2.190461187,2.507723392,-1.451203838,1.491346391,0.739930324,1.014250607,-2.390972751,-0.573760274,-1.037716039,-1.913913439,-0.965838914,0.769709692,-0.289835837,2.130874419,-0.096021169,-0.35518272,-0.257220557,0.817744583,-0.905558206,1.787442038
10,-2.195247957,-4.879537855,0.461169293,7.271760689,-3.325028342,1.39255546,4.045494062,-8.497478307,1.826691039,-5.778726722,1.567252542,0.396962783,-0.896084408,-1.379042637,0.618324397,-3.937181859,3.136795464,0.12207928,-2.41374141,-1.668015107,-1.787223494,1.424670818,-1.21459114,3.485938444,-1.204661317,2.873992846,-0.770791048,-2.504260314,1.037177661,-2.270178438,1.150615086,0.009511814,1.935906493,1.594047568,0.714581792,-0.095155477,0.724407058,0.390017948,-2.040330671,-1.882128462
-2,8.583286289,3.509872742,4.520012974,1.656107179,-2.11323315,0.765739431,8.148198272,7.656628269,1.357248302,-7.092882084,1.634058501,0.130933378,-5.05892562,-5.406271999,0.418470408,1.429125703,2.761687687,-1.232537958,0.568556444,-2.258404949,1.460578844,1.086411013,-2.903994085,4.426976437,-0.255657529,0.081967276,0.371690934,-0.022004381,0.560458847,-1.92127758,0.72004969,-0.305000104,2.674959484,1.969477496,-0.676952141,-0.912580231,2.570685602,0.558816437,-0.98230197,1.171090759
19,0.995638035,-6.481542433,9.362148575,-10.07499315,0.58159087,0.596411494,0.673321754,-1.152503104,0.106438624,-1.100805586,2.299488967,-2.657773955,-2.606208055,0.051837254,0.376124621,2.207172678,1.727850045,-1.992131598,0.136224886,4.160905301,3.717612314,1.097157943,-2.365428982,1.708614526,1.725950314,2.637631519,1.272631302,-1.857994098,-0.634802391,2.939940286,-0.023781085,-0.454309462,3.905719294,0.18484274,-3.251956434,-0.10752393,0.752984832,1.065764382,0.042361219,3.369283816
2,8.329804848,-5.394778019,-0.536506921,3.464296451,0.417051124,4.861719326,4.185125405,4.665010708,-1.172839628,-0.996577422,-1.588329074,-2.733873,1.987952196,1.106618547,-0.007554359,-0.910673688,-1.706130037,-1.097878284,1.501895648,1.621142496,-1.535810573,1.880196902,-2.911547263,0.065045499,4.31154678,1.044686077,-0.255712268,-0.151515483,-1.029385521,1.183092553,-1.118848689,-0.006904538,-0.964309104,1.787704571,0.002921343,-0.852319599,0.9636242,1.706834414,1.984724891,-0.408379046
-7,-1.334336694,1.926234565,-1.181846221,9.311178144,-0.638928949,1.028915563,4.424394055,-2.893962582,-2.853002185,-2.332389339,4.751369161,-3.30515257,1.723328858,1.556658537,3.097908861,-4.209294794,0.192677167,-0.302325851,-0.715547119,1.016691463,-2.006422158,2.310263555,-1.998591438,2.884959136,0.114188242,-1.908355274,-0.976977923,-1.566636718,-1.043760388,-2.169930694,0.520671443,0.921659119,-1.900236124,-0.346971132,1.137446469,-0.74579077,-2.235829363,0.244891633,-2.728938928,0.655089103
-11,0.53187382,2.884915526,-1.23097842,4.272425605,-0.975961278,2.433842109,-2.681281585,1.414021081,3.903575085,2.090024448,-0.712841012,-0.650975682,2.892808361,2.817595274,4.284946416,-5.882021442,-0.951860361,-1.771277108,3.70291287,1.105234644,1.614640408,0.342015169,-3.286392544,1.523219982,2.754524977,-4.133670903,1.191306782,0.706647928,-1.058636402,1.335947642,-2.045821983,-0.837123532,-0.818016141,0.791109956,0.226878846,-4.105394727,1.248654296,0.952256152,1.587147289,-1.493357834
1,9.615502762,0.980640489,2.259026588,2.925037372,0.968102845,3.86239601,4.628917864,6.527671467,-0.72865875,-6.338619233,1.624831297,-1.080837162,-3.911789753,-3.892069837,-1.937637893,-1.614075381,2.816872261,-1.228192419,0.698273701,0.890521648,1.326684827,1.494462997,-1.05297696,3.541606103,-1.929889273,0.426239578,0.029180579,-2.067495189,-0.31101438,-1.948005098,1.450689784,0.615761112,2.139262386,-0.372993676,-1.597023621,0.066272379,-0.6659412,2.474173791,-1.053812434,1.932595273
-29,1.945164359,9.124396759,3.918119527,2.829015849,-2.602996083,4.425529334,0.143168457,-0.98392553,2.645938897,1.730115854,-2.751452108,2.038737562,0.208878175,-2.937041607,4.042848981,1.411171637,-2.453918595,-2.682934217,-0.553339348,2.793478832,-3.057192337,-0.73394953,0.202094321,1.074009988,0.622662819,2.404058314,1.132788667,7.58E-05,-0.184751923,0.952297655,2.347543019,-0.347015725,-1.138529198,1.431607849,2.361737453,-1.509746234,0.143050647,1.192880202,-0.89799022,-0.427831337
-10,8.428785155,2.483857826,1.694774126,1.108901574,-0.280946597,2.727914218,-1.739719992,-2.199241864,-1.678129573,3.712941955,0.556449583,-0.724106953,-0.731194946,1.197895024,2.821453033,-0.653646324,-1.667675361,-0.320397685,-1.160860061,2.444903718,-4.333547018,-0.096928126,-1.395589808,1.789643985,0.585110606,-0.171697839,0.765372502,-0.426571091,-1.068102384,1.108351229,0.186343962,0.257242454,-0.588331877,-0.153096301,0.150210616,-0.742227998,2.306275369,-0.087628702,1.339077264,-1.438323842
-10,0.471716176,4.008142386,3.424844228,-0.420729448,-3.850198453,5.907615021,-3.366763792,-4.20038907,3.629979717,4.513462244,-0.563143438,-0.320840545,2.074272214,2.019218386,1.783700753,-0.682801744,1.550727127,-0.993430946,1.096465148,-0.165510193,-1.40732117,-0.833192071,-0.422648703,0.120486916,1.717299067,2.446620999,0.725526997,0.304613815,0.501196787,2.249971244,0.481016463,-1.056099878,-0.519865653,1.5881491,1.265795386,-0.917864565,-0.217437177,-1.269039143,1.141722843,-0.166059855
12,15.27768465,-5.019231255,6.557682198,-8.327686208,3.180390734,0.254359473,-0.697272208,1.261592422,-2.838430189,-1.450846029,-0.206144525,-1.079196765,-5.018603043,1.118142452,-1.402558858,-2.720458119,5.099443243,-2.377072765,1.624365612,1.000288572,2.760223843,-0.506235087,-1.712699156,-1.199880075,4.010064608,2.470515923,-0.777432948,2.092294618,-2.946312245,0.633753702,-0.602522019,0.389211549,-0.421165454,1.404636055,0.368033447,2.971065018,-0.727376769,-1.013734405,-0.15047318,-0.509741258
2,4.14500378,1.394486537,3.501647832,5.822632294,1.741217774,-0.36807701,1.123996765,2.749223348,-1.6225908,2.131016962,-1.694166777,-1.789639117,0.560255675,1.879485418,1.420136516,-0.725942197,1.918673886,2.378913563,-0.930338714,1.550714175,1.825900049,0.587052203,-0.451967786,0.818328695,0.859942094,1.647089108,0.429435401,-0.642469418,0.883402362,-0.412852389,-1.656164378,-0.494116122,0.188433495,2.342115445,0.01944379,0.21036109,0.270808605,2.227138725,1.481874211,-0.598943785
20,-4.5291988,-0.391954598,-4.528568299,0.107196985,-3.632434984,1.897533399,0.950677487,0.664741403,1.437715229,2.074771229,0.130259465,1.433383583,-5.371659803,-5.310842642,2.04002786,4.490040338,-7.062114985,-1.462115207,-3.261416272,1.260948171,1.53162202,-1.077968871,-2.933132066,5.292230626,-1.651947488,0.588499688,0.996593353,-0.306665959,-1.359374024,1.534041049,1.087442279,-0.085278439,3.595588402,-0.914709962,-1.475589679,-0.460341582,0.195056741,1.131276877,0.245089088,1.174738003
14,3.771224432,-0.907880536,0.621060397,-5.005017073,0.808763966,2.208880473,-5.092483788,-2.890123636,-4.434128587,-0.187471927,-4.019815279,0.651762339,-1.599157717,1.63422426,-3.072307162,-0.15983092,0.669768748,1.123907457,1.206090098,0.390010293,1.217684235,0.667954797,-2.886634692,2.031101919,0.95799684,0.127164471,1.81795051,-1.789416599,-0.46815206,2.392394271,-0.089948139,0.04770607,1.310223313,-0.403581945,-1.036202647,-1.179451851,0.464485438,0.171465203,-1.265448722,0.286410142
13,6.89100881,-10.08556748,4.324734206,1.130373282,0.339032443,-0.537251406,2.710958687,4.332963427,-0.440489053,-1.381188035,-0.707994201,-2.277955353,1.923044252,2.632447871,2.402468083,-2.823574155,2.681551781,0.848402832,-0.484976401,-1.012298362,-1.815048872,1.395289986,-0.235631341,1.65151466,-0.042679576,3.523470965,-0.715063526,-1.668727138,0.16833771,-1.097692619,2.61577265,0.192640464,-0.111325738,0.818404682,0.249462482,0.213945794,-0.218524632,-2.080942113,0.873277555,0.09184419
3,10.58562125,0.29082902,3.710436366,-4.999470379,-1.351848814,-1.01546185,-2.313611871,1.294295178,-2.909474036,-3.536586315,-0.338038099,-1.072585037,-0.578786166,0.138710496,0.261608687,1.698763903,2.115617597,0.725001461,1.840297738,-3.069790063,-2.345919523,1.46674297,0.329859903,0.267053912,-0.362558524,1.512001711,-0.542220505,-0.711641242,-0.430030896,-2.298160142,-2.605897541,0.84739867,-0.66534416,1.538926462,-0.612623684,-0.678358732,1.221938943,-0.510693771,-0.584616713,1.153939323
7,4.360267931,-2.832053615,2.525583691,-1.560289559,-0.11397644,0.669743147,-4.198284513,-2.350818628,3.627995319,2.986019954,0.034467586,-2.572316286,-0.226949727,1.616391154,-1.64312892,-0.521028846,2.482188362,1.363582358,1.581838931,1.382102603,1.292993678,1.090001613,-1.756917972,0.147911954,2.279885535,1.179681746,-0.82949379,-0.995497063,-0.442386277,1.111741109,-0.07602813,0.497821605,1.935519414,-1.237340601,-1.835452061,1.307509825,3.196405326,-1.874395326,0.928858154,-1.50131705
-7,4.011047903,-3.489123092,5.026821475,0.462448762,-3.141830397,2.625497384,-0.026597566,1.891086852,0.375083896,-1.49759836,-1.303336548,-1.077865158,-0.705085175,0.032030355,-0.391054512,0.874445974,-0.367594113,-0.083132199,2.938267971,2.611276221,2.058973032,-0.317428561,-0.572530932,1.333960503,1.619912572,0.730226872,-1.142943822,1.25947149,-1.321880681,-0.997276094,-0.297329646,0.753912333,-2.432419007,0.002832225,1.479214855,-1.229181119,0.541877038,-0.799473768,0.258104454,-0.800804992
