gmDate,teamAbbr,teamID,opptAbbr,pointspread,teamTO.turNOPver..x,teamPF.personal.fouls..x,teamFGA.x,teamFG..x,team2PA.x,team2PM.x,team2P..x,team3PA.x,team3PM.x,team3P..x,teamFTA.x,teamFTM.x,teamFT..x,teamORB.x,teamTRB.x,teamPTS1.x,teamPTS2.x,teamPTS3.x,teamPTS4.x,teamTREB%.x,teamASST%.x,teamTS%.x,teamE.effective.FG%.x,teamOREB%.x,teamDREB%.x,teamTO(TurnOver)%.x,teamSTL%.x,teamBLK%.x,teamBLKR.x,teamPPS.points.per.shot..x,teamDrtg(defensive.rating.per.100.possesion).x,teamEDiff(efficiency.difference).x,teamPlay%.x,teamAST/TO.x,teamSTL/TO.x,pointspread.l10.x,teamPF(personal.fouls).y,teamFGA.y,teamFG..y,team2PA.y,team2PM.y,team2P..y,team3PA.y,team3PM.y,team3P..y,teamFTA.y,teamFTM.y,teamFT..y,teamORB.y,teamTRB.y,teamPTS1.y,teamPTS2.y,teamPTS3.y,teamPTS4.y,teamTREB%.y,teamASST%.y,teamTS%.y,teamE(effective)FG%.y,teamOREB%.y,teamDREB%.y,teamTO(turnOver)%.y,teamSTL%.y,teamBLK%.y,teamBLKR.y,teamPPS(points.per.shot).y,teamDrtg(defensive.rating.per.100.possesion).y,teamEDiff(efficiency.difference).y,teamPlay%.y,teamAST/TO.y,teamSTL/TO.y,pointspread.l10.y,pointspread.lag,pointspreadl5,SPAT_H,SPAT_A
30/10/2012,CLE,1610612739,WAS,10,21,21,79,0.4557,59,29,0.4915,20,7,0.35,22,15,0.6818,18,54,31,19,24,20,58.0645,61.1111,0.53,0.5,46.1538,66.6667,19.1466,7.8704,5.6217,8.4746,1.1899,94.4447,11.2435,0.439,1.0476,33.3333,10,19,90,0.3556,58,24,0.4138,32,8,0.25,20,12,0.6,18,39,24,15,23,22,41.9355,81.25,0.4251,0.4,33.3333,53.8462,11.6279,12.3678,11.2434,17.2414,0.9333,105.6882,-11.2435,0.3765,2,84.6154,-10,0,-0.4,-38.08333333,-21
30/10/2012,LAL,1610612747,DAL,-8,14,21,77,0.4935,64,35,0.5469,13,3,0.2308,31,12,0.3871,15,46,29,17,20,25,53.4884,63.1579,0.502,0.513,32.6087,77.5,13.3792,6.5517,5.4598,7.8125,1.1818,108.1034,-8.7356,0.5,1.7143,42.8571,-8,25,85,0.4706,70,35,0.5,15,5,0.3333,18,14,0.7778,9,40,25,23,26,25,46.5116,55,0.5327,0.5,22.5,67.3913,11.4373,9.8276,5.4598,7.1429,1.1647,99.3678,8.7356,0.4545,1.8333,75,8,0,-1.6,17.35833333,25.23333333
30/10/2012,MIA,1610612748,BOS,13,8,20,79,0.5443,63,35,0.5556,16,8,0.5,32,26,0.8125,5,36,31,31,31,27,46.7532,58.1395,0.6446,0.5949,12.8205,81.5789,7.9145,8.4225,5.2641,7.9365,1.519,112.6515,13.6866,0.5244,3.125,100,13,23,75,0.52,62,33,0.5323,13,6,0.4615,28,23,0.8214,7,41,25,29,22,31,53.2468,61.5385,0.6127,0.56,18.4211,87.1795,15.4859,4.2113,2.1056,3.2258,1.4267,126.3381,-13.6866,0.4643,1.5,25,-13,0,3.2,29.98055556,8.136111111
31/10/2012,CHI,1610612741,SAC,6,18,19,79,0.4177,70,31,0.4429,9,2,0.2222,33,25,0.7576,14,46,25,19,25,24,53.4884,63.6364,0.4972,0.4304,32.5581,74.4186,16.1406,8.3382,10.4227,14.2857,1.1772,90.6776,6.2536,0.3976,1.1667,44.4444,6,29,84,0.4048,67,28,0.4179,17,6,0.3529,16,13,0.8125,11,40,23,17,23,24,46.5116,41.1765,0.4778,0.4405,25.5814,67.4419,18.7433,10.4227,5.2114,7.4627,1.0357,96.9312,-6.2536,0.3617,0.6667,47.619,-6,0,12.6,28,-25.9
31/10/2012,DET,1610612765,HOU,-9,16,15,79,0.443,63,29,0.4603,16,6,0.375,26,20,0.7692,10,36,22,36,23,15,44.4444,60,0.5307,0.481,23.2558,68.4211,15.0319,12.6895,4.2298,6.3492,1.2152,111.033,-9.5171,0.4118,1.3125,75,-9,24,79,0.4937,52,29,0.5577,27,10,0.3704,23,17,0.7391,12,45,27,28,17,33,55.5556,71.7949,0.5891,0.557,31.5789,76.7442,18.3284,12.6895,3.1724,5.7692,1.3291,101.5159,9.5171,0.4483,1.4,60,9,0,-9.4,-32.95,-9.616666667
31/10/2012,LAC,1610612746,MEM,9,22,27,74,0.5135,59,33,0.5593,15,5,0.3333,29,20,0.6897,8,39,26,23,24,28,46.988,65.7895,0.5821,0.5473,22.8571,64.5833,20.228,12.1391,9.1044,15.2542,1.3649,93.0667,9.1044,0.4318,1.1364,54.5455,9,25,86,0.3837,72,31,0.4306,14,2,0.1429,30,24,0.8,17,44,24,29,24,15,53.012,72.7273,0.4637,0.3953,35.4167,77.1429,17.4709,14.1623,4.0464,5.5556,1.0698,102.1711,-9.1044,0.3667,1.1429,66.6667,-9,0,0.2,63.2,27.625
31/10/2012,NOP,1610612740,SAS,-4,15,20,80,0.4375,63,31,0.4921,17,4,0.2353,23,21,0.913,9,43,31,19,21,24,50,74.2857,0.5271,0.4625,21.4286,77.2727,14.2694,7.3658,6.3136,9.5238,1.1875,104.174,-4.209,0.407,1.7333,46.6667,-4,21,80,0.475,60,32,0.5333,20,6,0.3,26,17,0.6538,10,43,28,15,28,28,50,57.8947,0.5413,0.5125,22.7273,78.5714,14.892,9.4704,8.4181,13.3333,1.2375,99.965,4.209,0.4419,1.375,56.25,4,0,-3.6,-20.11111111,40.71904762
31/10/2012,PHI,1610612755,DEN,9,16,14,85,0.3529,60,23,0.3833,25,7,0.28,21,17,0.8095,14,47,25,21,19,19,46.5347,60,0.4457,0.3941,26.9231,67.3469,14.5138,13.7753,11.6561,18.3333,0.9882,79.4731,9.5368,0.3448,1.125,81.25,9,22,88,0.375,70,29,0.4143,18,4,0.2222,11,5,0.4545,16,54,22,16,14,23,53.4653,57.5758,0.4039,0.3977,32.6531,73.0769,19.1571,9.5368,5.2982,7.1429,0.8523,89.0099,-9.5368,0.3511,0.8636,40.9091,-9,0,1.2,-17,13.52777778
31/10/2012,PHO,1610612756,GSW,-2,18,23,80,0.4,59,28,0.4746,21,4,0.1905,22,17,0.7727,11,44,21,21,25,18,47.3118,50,0.4739,0.425,25.5814,66,16.7162,10.6621,12.7945,20.339,1.0625,92.76,-2.1324,0.3678,0.8889,55.5556,-2,20,86,0.3837,69,28,0.4058,17,5,0.2941,23,16,0.6957,17,49,25,23,17,22,52.6882,57.5758,0.4526,0.4128,34,74.4186,15.7729,9.5959,3.1986,4.3478,1.0116,90.6276,2.1324,0.3793,1.0556,50,2,0,-0.2,-48.3047619,-1.266666667
31/10/2012,POR,1610612757,LAL,10,12,20,83,0.506,63,33,0.5238,20,9,0.45,28,23,0.8214,10,30,30,32,30,24,40,45.2381,0.6085,0.5602,25,57.1429,11.1815,10.6088,5.3044,7.9365,1.3976,112.4532,10.6088,0.4941,1.5833,83.3333,10,25,74.5,0.49675,59,31.5,0.5327,15.5,5.5,0.3376,31.5,19,0.5998,15,45.5,27.5,24,19.5,27.5,56.7442,60.7456,0.55885,0.5343,37.7329,76.25,17.94275,6.4585,3.7908,5.7581,1.327,115.5827,-9.6722,0.4695,1.27715,33.42855,-9,0,3.6,-17.91111111,8.144444444
